perfil_seguidores2,numero_seguidores2
_beatrizpicoli,123
volei_esporte,50
larasouza599,77
brbarbarat,344
piaui_brasil2050,57
soul.ivro,71
hugosilva821,23
mercia_souza8,126
lhsluiza21,60
zionaap,128
dnsj.4,65
variacoes2020,54
mnfernanda,118
priscilasouza77,1584
bele9799,91
aprenda_maquiagem2.0,47
gi.silva.cris,52
makeyourself.br,44
carolina.cowgirl,75
mundodosdogbeagles,44
airencorreia2017,79
viciadanaapple,43
sabrinaborgesmaria,44
melissariccig,210
otaviogabriel30,52
majorie.rivieira,103
antaresconf2019,102
sdv_todos_175,56
mariaemprota,99
lovefuckiing__,39
kathydavs_,107
carlo14i,42
curso_receita_para_seca,374
luhh_0ficial,128
maitehill,46
adrisouzah2o,103
kaikesantos725,57
luiz567964,108
ar.ies480,95
nutr.icaoalimentar,10
chrys_duarte21,198
menornjofc,38
layanee__232,138
rafael22damasceno,122
sheldon.runn,50
isabella.sophhia,63
brinquedos_especiais_1,214
camilakirate2021,66
claraoliveirazx,41
coeur.perfum,45
ellenpereira4556,92
fc_juuuh09,137
fugadex_j,49
liviamodas347,25
metalika128,52
28gyovanna,85
janecleide_may,94
brunonovaes98,86
jefe.rson1680,38
kosta.alaves,29
tamyyxn3,62
ofidial.maya,437
zezepi.o,108
aanavicx,50
laura_manw,58
marluciadias856,87
help_isab,83
renan_rosa80,196
innaturacafeteria,71
benicio_vianna,118
nikkiyxx,167
jerlison214,67
snooow.28,69
beterquelio,103
kaltonmaio,33
sucrilhostv01,153
aristoneduardo,714
yurinavarro.96,90
neymarw0rld,86
rafaelafuentess,74
agatha_fx4,190
maisumnamultidao4,107
biancacastro630,44
eduardofilipejuliorocha4529354,162
samuelcosta2101,188
larasantos1422,346
marcelbortoli,173
catsfofuxos,72
raissamaria31,42
anasousa6715,80
__gustavorocha90,37
lelesilva147147,615
thalzbraz,138
fcyasmin.6,116
loud_debbs,63
karla.beile,0
lopess.qw,90
renanrosa90,42
irisdudufree,71
nathaliasousamua,56
leilaolpires,38
rebecaa955,99
meninas_super_poderosas.ja,52
priscilaglenda12,56
lohhanysol,72
miguelgalvao25,54
kethellenbarbara,121
eiilaysa_,34
diogo.wms,112
moto_vk,330
analurdesc9,48
fctaina6,64
mariaisabel2yi,48
gabi__286,161
vicoliveira93,93
jamethebig,66
bbenjaminluis,1081
alics_ss,114
cha.eryeongg,51
grazielly9169,89
nailsinspirations2021,30
__wiccx,62
casalfitness_21,144
hutra_mark3,146
pedroaslan.2,1056
uservanessa78,79
rainhas.com_,82
lizz.flor01,44
teofiloluifilho,108
radassa.silva.5855,70
marciaiaracosta,122
hen_rry54,77
diegonathanmelo,36
emily.card25,71
fran_cisco2527,26
poxaleticiag,91
dixannab,45
alice.ss5,68
cami.ramos333,59
spedrolucas98,134
olavo.rodrigues.79,77
lizmariaw,48
rykelwelysousa,47
morfeu.uchiha,63
crist_iano4401,162
raim.unda440,51
_purarquitetura,59
karla_apareeh,110
milinha976,154
trechos_musicais_legais,54
jess.ica12150,53
alice.stown,39
nahetih2020,345
emanu7ela,126
malysantt,219
eunice.flavia.73,226
edzuteste1,74
ofcfe02,86
fabricio_s_silva,70
santoscailani,40
tyalemartins3,119
angelly624,33
gtamodes.03,65
clausantos_claudio,82
juhalmeida.2pf,76
marquesmarques.adv,46
yue552020,116
roginaldomorais,71
beijoterias50,61
jvsw007,66
luna.beautystore,1149
fraseslegais877,74
gabrelly81,62
ivan.eza,183
lidineia_brito,349
eloizarpm2,80
rickjesus99,64
fredjonesgp,72
jeonjungkook130697,113
oliviapietra8,198
gusth.henrick,86
joaozito728,155
thiago.japaa,104
jacke9354,81
val.vveloso,88
drinkss079,65
euu_mvbss,156
perllapitanga,66
marquinho_pod,42
tanguacorreia123,51
mv_1987_007,151
vitoria_portes_114,90
vitoria_ox,79
fern.andaqueiroz1,182
lendooabcd,86
vanessaaraujo65v,142
moniczrodrigues,75
estelinhacampos20,22
fabriciorodriguesramalho,79
